	Alcohol	Appellation	Bottle Size	Category	Date Published	Designation	Importer	Price	Variety	Winery	description	points	row	taster	title	url_i
2117	13%	Santa Barbara County, Central Coast, California, US	750 ml	White	3/1/2018			$24,  Buy Now	Chardonnay	Pence Ranch	Very delicate on the nose, this bottling from Blair Pence offers light lemon, fresh nectarine and wet cement aromas. It's very tight and edgy on the sip, with lime flavors and a pinch of baking spice, proving crisp and refreshing.	89	2118	Matt Kettmann	Pence Ranch 2015 Chardonnay (Santa Barbara County)	https://www.winemag.com/buying-guide/pence-ranch-2015-chardonnay-santa-barbara-county/
2118	14%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018		Sussex Wine Merchants	$24,  Buy Now	Red Blend	Poggio al Sole	Made with 90% Sangiovese, 5% Canaiolo and 5% Merlot, this has aromas of black-skinned berry, leather and a whiff of cedar. The savory palate delivers black cherry, sage and a hint of star anise alongside lithe tannins. Enjoy through 2022.	89	2119	Kerin O’Keefe	Poggio al Sole 2014  Chianti Classico	https://www.winemag.com/buying-guide/poggio-al-sole-2014-chianti-classico/
2119	14%	Colchagua Valley, Chile	750 ml	Red	3/1/2018		Gonzalez Byass USA	$20,  Buy Now	Carmenère	Primus	This high level of good is about where Primus falls year after year. This vintage shows blackberry and spice aromas in front of a tannic, pulling palate. Dark black-fruit flavors are nonspecific, while this has tannic rub along with berry and oak flavors on the finish.	89	2120	Michael Schachner	Primus 2015 Carmenère (Colchagua Valley)	https://www.winemag.com/buying-guide/primus-2015-carmenere-colchagua-valley/
2120	14.4%	Red Mountain, Columbia Valley, Washington, US	750 ml	Red	3/1/2018	Ciel du Cheval Vineyard Reserve		$50,  Buy Now	Bordeaux-style Red Blend	Tamarack Cellars	Cabernet Sauvignon makes up half of this blend, with the balance Cabernet Franc, Petit Verdot and Merlot. The aromas bring wound-up notes of red apple, cherry, herb, graphite, flower and barrel spice. The flavors are smooth and silky in feel, showing a pleasing depth.	89	2121	Sean P. Sullivan	Tamarack Cellars 2013 Ciel du Cheval Vineyard Reserve Red (Red Mountain)	https://www.winemag.com/buying-guide/tamarack-cellars-2013-ciel-du-cheval-vineyard-reserve-red-red-mountain/
2121	145%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018	ChiAndré	Fantastik Imports	$22,  Buy Now	Red Blend	Terre di Melazzano	Made with organic Sangiovese, Canaiolo and Merlot grapes, this opens with aromas of red plum, baking spice and a touch of violet. The firm palate delivers tobacco, clove and black cherry alongside fine-grained tannins. Enjoy through 2023.	89	2122	Kerin O’Keefe	Terre di Melazzano 2015 ChiAndré  (Chianti Classico)	https://www.winemag.com/buying-guide/terre-di-melazzano-2015-chiandre-chianti-classico/
2122	14%	Cauquenes Valley, Chile	750 ml	Red	3/1/2018	T.H. Terroir Hunter Rarities Garnacha-Cariñena-Monastrell	Maritime Wine Trading Collective	$30,  Buy Now	Red Blend	Undurraga	Ripe berry aromas include notes of cassis and raisin. Rarities is a good name for this, because there are few (if any) Grenache-Carignan-Monastrell blends being made in Chile besides this. Old vines and a cool year have combined to create an interesting wine with a medium body but bold acidity. Two years in oak has tamed some of the raciness, leaving sunbaked flavors offset by wiry acidity.	89	2123	Michael Schachner	Undurraga 2013 T.H. Terroir Hunter Rarities Garnacha-Cariñena-Monastrell Red (Cauquenes Valley)	https://www.winemag.com/buying-guide/undurraga-2013-t-h-terroir-hunter-rarities-garnacha-carinena-monastrell-red-cauquenes-valley/
2123	14.1%	Lodi, Central Valley, California, US	750 ml	White	3/1/2018			$15,  Buy Now	Chardonnay	Victor Vineyards	Good balance, medium body and a nice blend of fruit and spice flavors make this wine taste very well put together. It has crisp apple and lemon aromas, deceptively concentrated nutmeg, fig and pear flavors that slowly unfold on the palate, and a good lingering finish.	89	2124	Jim Gordon	Victor Vineyards 2016 Chardonnay (Lodi)	https://www.winemag.com/buying-guide/victor-vineyards-2016-chardonnay-lodi/
2124	14%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018	Vigna Bastignano	The Marchetti Co	$60,  Buy Now	Sangiovese	Villa Calcinaia	This opens with truffle, black-skinned berry and leather aromas. Made with organically cultivated Sangiovese, the juicy, medium-bodied palate offers dried black cherry, cinnamon and black pepper while polished tannins give it balance and support. Enjoy through 2023.	89	2125	Kerin O’Keefe	Villa Calcinaia 2014 Vigna Bastignano  (Chianti Classico)	https://www.winemag.com/buying-guide/villa-calcinaia-2014-vigna-bastignano-chianti-classico/
2125	14.5%	Arroyo Seco, Central Coast, California, US	750 ml	White	3/1/2018	Riva Ranch		$22,  Buy Now	Chardonnay	Wente	There's a classic California Chardonnay backbone to this bottling, with aromas of toasted wood, crème brûlée, poached pear and apple custard, yet there are also more delicate hints of chalk and orange blossom as well. The palate combines ripe Pink Lady apples and vanilla spice and caramel richness.	89	2126	Matt Kettmann	Wente 2016 Riva Ranch Chardonnay (Arroyo Seco)	https://www.winemag.com/buying-guide/wente-2016-riva-ranch-chardonnay-arroyo-seco/
2126	15.6%	Russian River Valley, Sonoma, California, US	750 ml	Red	3/1/2018	Paradise Lane Vineyard Old Vine		$40,  Buy Now	Zinfandel	Wine Guerrilla	Eucalyptus, Bay leaf and mint figure in prominently to the nose of this wine, an herbaceous expression of the variety that's sinewy in thick blackberry, almost to a syrupy level. From head-trained older vines, it retains that mix of fruit and earth to the powerful end.	89	2127	Virginie Boone	Wine Guerrilla 2015 Paradise Lane Vineyard Old Vine Zinfandel (Russian River Valley)	https://www.winemag.com/buying-guide/wine-guerrilla-2015-paradise-lane-vineyard-old-vine-zinfandel-russian-river-valley/
2127	13.5%	Niederösterreich, Austria	750 ml	Red	3/1/2018	Edition Chremisa Sandgrube 13	Saranty Imports	$20,  Buy Now	Zweigelt, Other Red	Winzer Krems	Fleshy and ripe red cherry fruit notes stream from the glass. The palate is equally fruit-driven in an abundance of juicy, almost overripe fruit. There is ample freshness to serve as a counterbalance. The finish has balance and crunchy cherry verve.	89	2128	Anne Krebiehl MW	Winzer Krems 2015 Edition Chremisa Sandgrube 13 Zweigelt (Niederösterreich)	https://www.winemag.com/buying-guide/winzer-krems-2015-edition-chremisa-sandgrube-13-zweigelt-niederosterreich/
2128	13.5%	Sta. Rita Hills, Central Coast, California, US	750 ml	Red	3/1/2018	Zoto		$25,  Buy Now	Pinot Noir	Zotovich Cellars	Reserve aromas of black cherry, plum, clove and tarragon-crusted roast pork show on the nose of this bottling. The palate combines pomegranate and rhubarb with subtle star anise spice, proving altogether delicate and easy to drink.	89	2129	Matt Kettmann	Zotovich Cellars 2015 Zoto Pinot Noir (Sta. Rita Hills)	https://www.winemag.com/buying-guide/zotovich-cellars-2015-zoto-pinot-noir-sta-rita-hills/
2129	13%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018		Bevology	$18,  Buy Now	Red Blend	Aiola	You'll find aromas of violet, leather and a whiff of game on this approachable red. The sleek palate delivers raspberry, clove and white pepper alongside lively tannins and fresh acidity. Enjoy though 2022.	89	2130	Kerin O’Keefe	Aiola 2014  Chianti Classico	https://www.winemag.com/buying-guide/aiola-2014-chianti-classico/
2130	13%	Côte de Brouilly, Beaujolais, France	750 ml	Red	3/1/2018	L'Héronde	Vintage '59 Imports	$35,  Buy Now	Gamay	Domaine Chasselay	This ripe and richly fruity wine from organically grown grapes is also textured with tannins and cut with acidity. These elements make for a generous wine, full of fruit and with a medium-term future. Drink from mid-2018.	89	2131	Roger Voss	Domaine Chasselay 2016 L'Héronde  (Côte de Brouilly)	https://www.winemag.com/buying-guide/domaine-chasselay-2016-lheronde-cote-de-brouilly/
2131	13%	Morgon, Beaujolais, France	750 ml	Red	3/1/2018		Bounty Hunter	$19,  Buy Now	Gamay	Domaine de la Plaigne	Perfumed red fruits and firm tannins give this wine both its immediate attraction and its aging potential. It is dense as well as rich with juicy blackberry fruit freshened with acidity. Drink the wine from 2019.	89	2132	Roger Voss	Domaine de la Plaigne 2016  Morgon	https://www.winemag.com/buying-guide/domaine-de-la-plaigne-2016-morgon/
2132	13%	Weinviertel, Austria	750 ml	White	3/1/2018	Tradition Reserve	Baystate Wine &amp; Spirits	$16,  Buy Now	Grüner Veltliner	Dürnberg	This wine's shy nose gives little away. The palate comes in with zesty lemon freshness and just a hint of peppery watercress. A light-bodied, refreshing and easy-drinking wine.	89	2133	Anne Krebiehl MW	Dürnberg 2016 Tradition Reserve Grüner Veltliner (Weinviertel)	https://www.winemag.com/buying-guide/durnberg-2016-tradition-reserve-gruner-veltliner-weinviertel/
2133	13.5%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018	Le Stinche	Charlemagne Fine Wines	$40,  Buy Now	Sangiovese	Fattoria di Lamole	Aromas suggesting black cherry, game and underbrush take the lead while the juicy palate offers raspberry jam, clove and star anise. Fine-grained tannins provide support. Drink through 2023.	89	2134	Kerin O’Keefe	Fattoria di Lamole 2013 Le Stinche  (Chianti Classico)	https://www.winemag.com/buying-guide/fattoria-di-lamole-2013-le-stinche-chianti-classico/
2134	14.2%	Russian River Valley, Sonoma, California, US	750 ml	Red	3/1/2018	Dichotomy		$30,  Buy Now	Pinot Noir	Friedeman	From a selection of clones and vineyard sites, this affordable varietal wine offers forest pine, cardamom and pomegranate, the fruit elusive within its more savory nature.	89	2135	Virginie Boone	Friedeman 2015 Dichotomy Pinot Noir (Russian River Valley)	https://www.winemag.com/buying-guide/friedeman-2015-dichotomy-pinot-noir-russian-river-valley/
2135	13%	Moulin-à-Vent, Beaujolais, France	750 ml	Red	3/1/2018	Domaine du Pourpre	Quintessential Wines	$27,  Buy Now	Gamay	Georges Duboeuf	This estate, run by the same family for five generations, has produces a structured wine. Its firm tannins and generous black-plum fruits suggest aging potential. Full bodied and rich, the wine should be drunk from 2019.	89	2136	Roger Voss	Georges Duboeuf 2016 Domaine du Pourpre  (Moulin-à-Vent)	https://www.winemag.com/buying-guide/georges-duboeuf-2016-domaine-du-pourpre-moulin-a-vent/
2136	14.8%	Russian River Valley, Sonoma, California, US	750 ml	Red	3/1/2018	Westside Reserve		$72,  Buy Now	Pinot Noir	Gracianna	Made from Bacigalupi Vineyard fruit, which is located on Westside Road, this wine offers a generous bouquet and outlay of dark cherry, baked vanilla, toasted oak and forest notes, its heart savory and tart in additional characteristics of clove, cranberry and pomegranate.	89	2137	Virginie Boone	Gracianna 2015 Westside Reserve Pinot Noir (Russian River Valley)	https://www.winemag.com/buying-guide/gracianna-2015-westside-reserve-pinot-noir-russian-river-valley/
2137	13.5%	San Diego County, South Coast, California, US	750 ml	Red	3/1/2018			$46,  Buy Now	Cabernet Franc	Hungry Hawk	Quite light in the glass, this Loire-like bottling shows great promise from San Diego County, with very fresh aromas of cranberry, white pepper and green herbs on the nose. Tart yet candied pomegranate fruit shows on the sip, where that peppery character continues, blending crushed thyme and peppercorn with a touch of caramelized herbs on the finish.	89	2138	Matt Kettmann	Hungry Hawk 2015 Cabernet Franc (San Diego County)	https://www.winemag.com/buying-guide/hungry-hawk-2015-cabernet-franc-san-diego-county/
2138	12.5%	Casablanca Valley, Chile	750 ml	Red	3/1/2018	Tobiano	Kingston Family Vineyards	$24,  Buy Now	Pinot Noir	Kingston Family	Cherry aromas dominate the nose on this medium-bodied Pinot with medicinal leanings. A bright youthful palate is more fresh and easy than complex, while this tastes of lightly spiced raspberry, plum and cherry. A juicy appealing finish includes touches of oak and cocoa.	89	2139	Michael Schachner	Kingston Family 2016 Tobiano Pinot Noir (Casablanca Valley)	https://www.winemag.com/buying-guide/kingston-family-2016-tobiano-pinot-noir-casablanca-valley/
2139	13.5%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018		Palm Bay International	$20,  Buy Now	Sangiovese	Lornano	Here's a 100% Sangiovese that opens with aromas of woodland berry, underbrush and a hint of balsamic herb. The juicy palate delivers ripe black cherry, licorice and black pepper alongside smooth tannins. Drink through 2023.	89	2140	Kerin O’Keefe	Lornano 2013  Chianti Classico	https://www.winemag.com/buying-guide/lornano-2013-chianti-classico/
2140	14.5%	Walla Walla Valley (WA), Columbia Valley, Washington, US	750 ml	Red	3/1/2018			$35,  Buy Now	Malbec	Nodland	Aromas of baking spice, vanilla, coconut and cherry are followed by well-proportioned fruit and barrel flavors. Cocoa notes linger on the finish. It hits a lot of high marks, though the variety seems a bit hard to find.	89	2141	Sean P. Sullivan	Nodland 2014 Malbec (Walla Walla Valley (WA))	https://www.winemag.com/buying-guide/nodland-2014-malbec-walla-walla-valley-wa/
2141	13.8%	Luberon, Rhône Valley, France	750 ml	White	3/1/2018		Opici Wines	$13,  Buy Now	Rhône-style White Blend	Notre Dame de Cousignac	Whispers of caramel, vanilla and salt entice from nose to finish in this slightly savory, full-bodied white. Apple and pear flavors and soft, lemony acidity are delicate in concentration but it's a luscious, richly textured wine that lingers on the finish.	89	2142	Anna Lee C. Iijima	Notre Dame de Cousignac 2014 White (Luberon)	https://www.winemag.com/buying-guide/notre-dame-de-cousignac-2014-white-luberon/
2142	9.5%	Columbia Valley (WA), Columbia Valley, Washington, US	375 ml	Dessert	3/1/2018	Vin de Glacieire		$14,  Buy Now	Riesling	Pacific Rim	The aromas pop, with appealing notes of marmalade, sugared pineapple and honey. It's sweet and luscious, with abundant apricot and tropical flavors that, despite their sugar, still maintain a sense of elegance and balance.	89	2143	Sean P. Sullivan	Pacific Rim 2016 Vin de Glacieire Riesling (Columbia Valley (WA))	https://www.winemag.com/buying-guide/pacific-rim-2016-vin-de-glacieire-riesling-columbia-valley-wa/
2143	14.6%	Paso Robles, Central Coast, California, US	750 ml	Red	3/1/2018	Pear Valley Vineyard		$27,  Buy Now	Merlot	Pear Valley	Soft and elegant on the nose, this bottling presents rounded violets, plump blackberries, broken asphalt and dried dill on the nose. The palate is plush with blueberry and lilac flavors that ride chiseled tannins and benefit from peppercorn and marjoram spices. It is complex and flavorful.	89	2144	Matt Kettmann	Pear Valley 2014 Pear Valley Vineyard Merlot (Paso Robles)	https://www.winemag.com/buying-guide/pear-valley-2014-pear-valley-vineyard-merlot-paso-robles/
2144	14.5%	Gigondas, Rhône Valley, France	750 ml	Red	3/1/2018	Domaine Grand Romane	Saranty Imports	$35,  Buy Now	Rhône-style Red Blend	Pierre Amadieu	Fleshy black-cherry and plum flavors verge on the overripe in this supple, rounded wine. Ripe tannins, caramel and spice accentuate the soft, easy drinking appeal.	89	2145	Anna Lee C. Iijima	Pierre Amadieu 2014 Domaine Grand Romane  (Gigondas)	https://www.winemag.com/buying-guide/pierre-amadieu-2014-domaine-grand-romane-gigondas/
2145	14.2%	Columbia Valley (WA), Columbia Valley, Washington, US	750 ml	Red	3/1/2018			$42,  Buy Now	Cabernet Sauvignon	Plumb Cellars	Aromas of herb, vanilla, pencil lead, barrel spice and coffee are followed by sleek but well-proportioned fruit flavors. It shows a lovely sense of balance, though the barrel influence plays a large part in the show.	89	2146	Sean P. Sullivan	Plumb Cellars 2013 Cabernet Sauvignon (Columbia Valley (WA))	https://www.winemag.com/buying-guide/plumb-cellars-2013-cabernet-sauvignon-columbia-valley-wa/
2146	13.5%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018	Riserva	Ideal Wine and Spirits	$30,  Buy Now	Red Blend	Savignola Paolina	Aromas of black-skinned berry, cedar and tilled earth lead the nose while the chewy palate offers black currant, mocha and baking spice. Assertive but fine-grained tannins lend support. Drink 2018–2025.	89	2147	Kerin O’Keefe	Savignola Paolina 2014 Riserva  (Chianti Classico)	https://www.winemag.com/buying-guide/savignola-paolina-2014-riserva-chianti-classico/
2147	11.4%	Seneca Lake, Finger Lakes, New York, US	750 ml	White	3/1/2018	Doyle Fournier Vineyard		$26,  Buy Now	Riesling	Silver Thread	The most plush of Silver Thread's single-vineyard lineup this vintage, this wine shows a wealth of ripe stone fruit, blended with milky, white flowers and crushed stone on the nose. A roundness on the off-dry palate is carried by fleshy yellow apple and tart apricot, balanced by a vein of lemon-lime acidity. A powdered mineral texture lingers through the finish.	89	2148	Alexander Peartree	Silver Thread 2016 Doyle Fournier Vineyard Riesling (Seneca Lake)	https://www.winemag.com/buying-guide/silver-thread-2016-doyle-fournier-vineyard-riesling-seneca-lake/
2148	12.5%	Elgin, South Africa	750 ml	White	3/1/2018		Pascal/Schildt Selections	$29,  Buy Now	Riesling	Spioenkop	This is slightly shy and reserved off the bat, but expresses itself more with some time in the glass, yielding scents of melon rind, underripe peach and lightly spiced citrus rind. There's a gorgeous texture to the palate, with a subtle pithiness and grassy astringency that frames the stone-fruit flavors. Drink now–2021.	89	2149	Lauren Buzzeo	Spioenkop 2015 Riesling (Elgin)	https://www.winemag.com/buying-guide/spioenkop-2015-riesling-elgin/
2149	13.5%	Burgenland, Austria	750 ml	Red	3/1/2018	Kaiserberg	KWSelection.com	$23,  Buy Now	Blaufränkisch, Other Red	Steindorfer	A wave red and black cherry comes across as rather fleshy on the nose. The palate is fresh and juicy with all of that fleshy, ripe fruit flooding across the palate. The customary Austrian freshness provides a welcome counterbalance while the tannins are soft and pliable. Drink soon.	89	2150	Anne Krebiehl MW	Steindorfer 2015 Kaiserberg Blaufränkisch (Burgenland)	https://www.winemag.com/buying-guide/steindorfer-2015-kaiserberg-blaufrankisch-burgenland/
2150	14.5%	Barbaresco, Piedmont, Italy	750 ml	Red	3/1/2018	Canova	Wine 4 All	$45,  Buy Now	Nebbiolo	Tenuta San Mauro	Aromas of scorched earth, toast, espresso and balsamic notes fill the glass. The full-bodied palate offers dried black cherry, raspberry jam, cinnamon and clove framed in firm, close-grained tannins. Drink through 2022.	89	2151	Kerin O’Keefe	Tenuta San Mauro 2013 Canova  (Barbaresco)	https://www.winemag.com/buying-guide/tenuta-san-mauro-2013-canova-barbaresco/
2151	13%	Marlborough, New Zealand	750 ml	White	3/1/2018		Kobrand	$14,  Buy Now	Sauvignon Blanc	The Seeker	This wine starts out seemingly semisweet, with a touch of honey, florals and ripe lemon. The palate, however, is dry, with medium weight, zippy acidity, a creamy, slippery texture and a citrusy finish. Sip with roast chicken.	89	2152	Christina Pickard	The Seeker 2016 Sauvignon Blanc (Marlborough)	https://www.winemag.com/buying-guide/the-seeker-2016-sauvignon-blanc-marlborough/
2152	12.9%	Central Coast, Central Coast, California, US	750 ml	White	3/1/2018	Blend 33		$32,  Buy Now	Rhône-style White Blend	Topa Mountain Winery	This blend of 38% Roussanne, 31% Marsanne and 31% Viognier is a Rhône-style white for Chardonnay lovers, starting with an intriguingly buttery and toast-filled nose that's cut with aromas of squeezed lemon. The palate is bolstered by a citrusy acidity and decent textural grip, finishing on melted butter.	89	2153	Matt Kettmann	Topa Mountain Winery 2015 Blend 33 White (Central Coast)	https://www.winemag.com/buying-guide/topa-mountain-winery-2015-blend-33-white-central-coast/
2153	13%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018		Foley Family Wines	$25,  Buy Now	Red Blend	Valiano	This supple red opens with aromas of iris, red-skinned berry and underbrush. The juicy palate delivers red berry, white pepper and a hint of star anise cushioned between rounded tannins. Drink through 2020.	89	2154	Kerin O’Keefe	Valiano 2015  Chianti Classico	https://www.winemag.com/buying-guide/valiano-2015-chianti-classico/
2154	13%	Beaujolais, Beaujolais, France	750 ml	Red	3/1/2018	Moulin la Blanche	The French Corner	$21,  Buy Now	Gamay	Vignoble Charmet	This is a full wine, juicy with attractive blackberry and rich cherry fruit. Its acidity provides a refreshing contrast to the richness. Drink the wine now.	89	2155	Roger Voss	Vignoble Charmet 2016 Moulin la Blanche  (Beaujolais)	https://www.winemag.com/buying-guide/vignoble-charmet-2016-moulin-la-blanche-beaujolais/
2155	14%	Maipo Valley, Chile	750 ml	Red	3/1/2018	Lazuli	Vine Connections	$35,  Buy Now	Cabernet Sauvignon	Viña Aquitania	A tough gritty nose is not the most welcoming, while this holds onto that hardness on the palate, which is raw in feel and stylistically more drawn back than most high-end Chilean Cabernets. This tastes savory, a touch leafy and short on ripe fruit. Overall, it's a dry Maipo red with oak character and toughness. Drink through 2028.	89	2156	Michael Schachner	Viña Aquitania 2014 Lazuli Cabernet Sauvignon (Maipo Valley)	https://www.winemag.com/buying-guide/vina-aquitania-2014-lazuli-cabernet-sauvignon-maipo-valley/
2156	14.5%	Casablanca Valley, Chile	750 ml	Red	3/1/2018	Neblus	Carolina Wine Brands USA	$60,  Buy Now	Red Blend	Viña Casablanca	This Syrah and Merlot blend goes heavy on the Syrah and the dark color. The nose is intense, spicy and concentrated, with creamy mint notes stemming from fruit and oak. A heavy palate is a clunky, while strong flavors of mint, grassy berry and sappy black plum are roasted and slightly herbaceous on the finish. All in all, Neblus is a rare breed of wine.	89	2157	Michael Schachner	Viña Casablanca 2014 Neblus Red (Casablanca Valley)	https://www.winemag.com/buying-guide/vina-casablanca-2014-neblus-red-casablanca-valley/
2157	13.5%	Aconcagua Valley, Chile	750 ml	Red	3/1/2018		Thiénot USA	$25,  Buy Now	Syrah	Arboleda	A deep nose with ample oak is peppery and lightly herbal, with scents of clove and briary black fruits. The palate on this Syrah is dry, reserved and tannic, but fresh and healthy. Herbal spicy plum, berry and tomato flavors are drawing on the finish.	89	2158	Michael Schachner	Arboleda 2015 Syrah (Aconcagua Valley)	https://www.winemag.com/buying-guide/arboleda-2015-syrah-aconcagua-valley/
2158	14.5%	Dry Creek Valley, Sonoma, California, US	750 ml	Red	3/1/2018	Estate		$44,  Buy Now	Meritage, Bordeaux-style Red Blend	Arbor Bench Vineyards	From equal parts Cabernet Sauvignon and Merlot, as well as 32% Malbec, this is a slightly reduced expression of earthy black tea, black currant, toasted oak and sizable tannin. Full bodied, it shows the concentration and density of the vintage.	89	2159	Virginie Boone	Arbor Bench Vineyards 2013 Estate Meritage (Dry Creek Valley)	https://www.winemag.com/buying-guide/arbor-bench-vineyards-2013-estate-meritage-dry-creek-valley/
2159	15.5%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018	Vigna del Capannino	Massanois Imports	$35,  Buy Now	Sangiovese	Bibbiano	Aromas of black-skinned berry, vanilla and underbrush waft out of the glass. Made entirely with Sangiovese, the concentrated palate doles out ripe black plum, roasted coffee bean and licorice alongside closed-grained tannins and the warmth of evident alcohol. Drink through 2023.	89	2160	Kerin O’Keefe	Bibbiano 2013 Vigna del Capannino  (Chianti Classico)	https://www.winemag.com/buying-guide/bibbiano-2013-vigna-del-capannino-chianti-classico/
2160	12.5%	Brouilly, Beaujolais, France	750 ml	Red	3/1/2018	Domaine des Poutoux	Matinicus Wines, LLC	$20,  Buy Now	Gamay	Vignerons de Bel Air	From one of the single estates vinified by the Bel Air cooperative, this wine has intense red-currant fruit and acidity. It offers a light texture with just enough tannins to give weight and concentration. Drink this wine now.	87	2161	Roger Voss	Vignerons de Bel Air 2016 Domaine des Poutoux  (Brouilly)	https://www.winemag.com/buying-guide/vignerons-de-bel-air-2016-domaine-des-poutoux-brouilly/
2161	15%	Russian River Valley, Sonoma, California, US	750 ml	Red	3/1/2018			$24,  Buy Now	Zinfandel	Wine Guerrilla	Pruney raisin and plum aromas and flavors are met by fruit-forward notions of blackberry jam and cherry, providing a generosity of ripe fruit. Spicy cinnamon and dusty tannin accent the full-bodied concentration and simple finish.	87	2162	Virginie Boone	Wine Guerrilla 2015 Zinfandel (Russian River Valley)	https://www.winemag.com/buying-guide/wine-guerrilla-2015-zinfandel-russian-river-valley/
2162	14.1%	Yakima Valley, Columbia Valley, Washington, US	750 ml	Red	3/1/2018			$35,  Buy Now	Malbec	Airfield Estates	Aromas of sweet herb, cherry and barrel spice are followed by pitch-black-fruit flavors that work around the edges, with a tart citrus filled finish that falls a bit short. The tannins bring a bit of grit.	87	2163	Sean P. Sullivan	Airfield Estates 2015 Malbec (Yakima Valley)	https://www.winemag.com/buying-guide/airfield-estates-2015-malbec-yakima-valley/
2163	14.6%	Santa Margarita Ranch, Central Coast, California, US	750 ml	Red	3/1/2018			$20,  Buy Now	Zinfandel	Ancient Peaks	Kirsch, caramel, maraschino cherries and hickory smoke make for a pleasing if somewhat sweet nose. Alpine strawberry and stewed raspberry show on the palate, which is fruity and flavorful if somewhat simple. Caramel pops on the finish.	87	2164	Matt Kettmann	Ancient Peaks 2015 Zinfandel (Santa Margarita Ranch)	https://www.winemag.com/buying-guide/ancient-peaks-2015-zinfandel-santa-margarita-ranch/
2164	13%	Curicó Valley, Chile	750 ml	Red	3/1/2018	Bellavista Reserva	Vinamericas Selections	$15,  Buy Now	Cabernet Sauvignon	Aresti	Light raspberry and cherry aromas are simple and good. This medium-bodied Cabernet is high in acidity and zesty, as if it were harvested before rains hit the 2016 vintage. Flavors of plum, raspberry and tomato finish well.	87	2165	Michael Schachner	Aresti 2016 Bellavista Reserva Cabernet Sauvignon (Curicó Valley)	https://www.winemag.com/buying-guide/aresti-2016-bellavista-reserva-cabernet-sauvignon-curico-valley/
2165	14%	Western Cape, South Africa	750 ml	Red	3/1/2018		Meridian Prime Inc	$11,  Buy Now	Cabernet Sauvignon	Balance	Hints of carnation and cocoa powder lead the bouquet of this value-minded Cabernet, supported by fruity tones of red cherry and forest berries. A touch jammy and smooth on the palate, it's balanced by ample tannins and enough acidity to keep the mouthfeel fresh and the finish clean. Drink now.	87	2166	Lauren Buzzeo	Balance 2015 Cabernet Sauvignon (Western Cape)	https://www.winemag.com/buying-guide/balance-2015-cabernet-sauvignon-western-cape/
2166	12%	North Fork of Long Island, Long Island, New York, US	750 ml	Red	3/1/2018			$35,  Buy Now	Merlot	Bedell	A pleasant intensity of bramble-berry and red-currant aromas blend with a crushed black pepper tone on the nose. The palate is light and lithe, focused on tart red fruit, flecked with peppery tones. Mild, sandy tannins keep the feel smooth and linger on the cranberry-skin finish.	87	2167	Alexander Peartree	Bedell 2014 Merlot (North Fork of Long Island)	https://www.winemag.com/buying-guide/bedell-2014-merlot-north-fork-of-long-island/
2167	12.5%	Beaujolais-Villages, Beaujolais, France	750 ml	Red	3/1/2018		Boisset Collection	$15,  Buy Now	Gamay	Bouchard Aîné et Fils	The style of this wine is rich, giving structure and ripe tannins as much as red fruits. It is juicy, full of red-berry flavors and has good acidity to keep it all in check. Drink now.	87	2168	Roger Voss	Bouchard Aîné et Fils 2016  Beaujolais-Villages	https://www.winemag.com/buying-guide/bouchard-aine-et-fils-2016-beaujolais-villages/
2168	15.2%	Lodi, Central Valley, California, US	750 ml	Red	3/1/2018	Old Vine		$15,  Buy Now	Zinfandel	Caricature	This wine is generous in flavor, a touch soft in texture and has a bit of sweetness to round off any rough edges. It smells jammy and tastes like blackberries drizzled with maple syrup, while any tannins are softened by the ripeness and body.	87	2169	Jim Gordon	Caricature 2014 Old Vine Zinfandel (Lodi)	https://www.winemag.com/buying-guide/caricature-2014-old-vine-zinfandel-lodi/
2169	14%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018	Clemente VII Gran Selezione	Votto Vines Importing	$50,  Buy Now	Sangiovese	Castelli del Grevepesa	Aromas suggesting scorched earth, woodshop and grilled herb carry over to the evolved palate along with roasted coffee bean, coconut and a hint of prune. Close-grained tannins provide support. There's not much fruit left so drink sooner rather than later.	87	2170	Kerin O’Keefe	Castelli del Grevepesa 2012 Clemente VII Gran Selezione  (Chianti Classico)	https://www.winemag.com/buying-guide/castelli-del-grevepesa-2012-clemente-vii-gran-selezione-chianti-classico/
2170	13%	Chianti Classico, Tuscany, Italy	750 ml	Red	3/1/2018		Zonin USA	$19,  Buy Now	Red Blend	Castello d'Albola	Delicate scents suggesting dark berry, moist soil and a whiff ground clove waft out of the glass. The fresh, light-bodied palate offers sour cherry and star anise alongside bright acidity and rather loose knit tannins. Drink through 2019.	87	2171	Kerin O’Keefe	Castello d'Albola 2014  Chianti Classico	https://www.winemag.com/buying-guide/castello-dalbola-2014-chianti-classico/
